OBJECTID,ZIPCODE,MAIL_CITY,SHAPE_LENG,SHAPE
84,21770,MONROVIA,458.325716769999985,"(39.33137159000006, -77.21732889599997)"
85,20872,DAMASCUS,179417.342234999989159,"(39.32944528100006, -77.20228137199996)"
86,21771,MT. AIRY,60422.747104000001855,"(39.34647897900004, -77.18023807799995)"
87,21771,MT. AIRY,149.977242139999987,"(39.313212228000054, -77.16995730499997)"
88,20815,CHEVY CHASE,118.304485360000001,"(38.98087236400005, -77.09501192599998)"
89,20815,CHEVY CHASE,18.575645489999999,"(38.982247372000074, -77.09319332899997)"
90,20838,BARNESVILLE,238.620993249999998,"(39.22742027900006, -77.38415375899996)"
91,20705,BELTSVILLE,627.776840409999977,"(39.04574095000004, -76.95148987999994)"
92,20705,BELTSVILLE,703.62636286999998,"(39.04514006800008, -76.95251621099999)"
93,20705,BELTSVILLE,567.139543640000056,"(39.044141567000054, -76.95310486899996)"
94,20783,ADELPHI,17070.357630899998185,"(39.039397715000064, -76.95223046399997)"
95,20812,GLEN ECHO,1519.907852759999969,"(38.96456834700007, -77.13601736099997)"
96,20705,BELTSVILLE,3118.962235320000218,"(39.03889489100004, -76.95175903399996)"
97,20814,BETHESDA,1.35289181,"(38.99517526300008, -77.09643411399998)"
