"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,99539,"98057","WA","Seattle-Tacoma-Bellevue","King County","Renton",6418,386200,0.00599114352696015,0.0184599156118143,0.0480325644504749,0.105683201364287,0.0523280629092429,"2019-09","2019-Q3",386200,0,"2019-09"
2019-09-30,70015,"28539","NC","Jacksonville","Onslow County","Hubert",6419,148500,0.00609756097560976,0.0248447204968944,0.108208955223881,0.0236811993072139,-0.00133691812227166,"2010-04","2010-Q2",153200,-0.0306788511749347,"2008-10"
2019-09-30,74740,"38261","TN","Union City","Obion County","Union City",6420,82900,0.00484848484848485,0.0171779141104294,0.0109756097560976,0.0398100990970691,0.0172032415411443,"2019-01","2019-Q1",83900,-0.0119189511323004,"2018-11"
2019-09-30,64541,"16323","PA","Oil City","Venango County","Franklin",6421,80300,0.00249687890137328,0,0.0388098318240621,0.0153798062216719,0.0144032467551156,"2019-09","2019-Q3",80300,0,"2019-09"
2019-09-30,77695,"45504","OH","Springfield","Clark County","Springfield",6422,126700,0.00555555555555556,0.0127897681854516,0.0497100248550124,0.0542236503863376,0.0209252356499918,"2019-09","2019-Q3",126700,0,"2019-09"
2019-09-30,58775,"02467","MA","Boston-Cambridge-Newton","Norfolk County","Brookline",6423,1103200,0,-0.00522993688007214,0.0262325581395349,0.0583809359620575,0.0481984257731383,"2019-01","2019-Q1",1118300,-0.0135026379325762,"2018-11"
2019-09-30,64425,"16046","PA","Pittsburgh","Butler County","Mars",6424,373200,0.00592991913746631,0.00755939524838013,0.0272502064409579,0.0331811512766482,0.0300726704407075,"2019-09","2019-Q3",373200,0,"2019-09"
2019-09-30,64622,"16508","PA","Erie","Erie County","Erie",6425,86500,0.00348027842227378,0.00581395348837209,0.0188457008244994,0.00732592516146524,0.00511193275775534,"2019-09","2019-Q3",86500,0,"2019-09"
2019-09-30,93688,"81101","CO",,"Alamosa County","Alamosa",6426,179100,-0.00389321468298109,-0.00995024875621891,0.0210946408209806,0.0643845913653844,0.0431403598505129,"2019-05","2019-Q2",181600,-0.0137665198237885,"2018-12"
2019-09-30,399575,"33545","FL","Tampa-St. Petersburg-Clearwater","Pasco County","Wesley Chapel",6427,237500,0.00168705187684521,0.0123614663256607,0.0353095030514385,0.0666625154157339,0.0425932940158438,"2006-07","2006-Q3",261200,-0.0907350689127106,"2005-08"
2019-09-30,98672,"96161","CA","Truckee-Grass Valley","Nevada County","Truckee",6428,622100,-0.000642570281124498,-0.000963545848723302,0.0347638057218896,0.0574956209534006,0.0378394350745015,"2019-03","2019-Q1",625700,-0.00575355601726067,"2019-02"
2019-09-30,89270,"71953","AR",,"Polk County","Mena",6429,104500,0.0106382978723404,0.0225048923679061,0.0696008188331627,0.0443932563752083,0.0192019708531248,"2019-09","2019-Q3",104500,0,"2019-09"
2019-09-30,79287,"48625","MI",,"Clare County","Harrison",6430,65900,0.0122887864823349,0.046031746031746,0.0560897435897436,0.0390998998856802,0.0229928801714718,"2019-09","2019-Q3",65900,0,"2019-09"
2019-09-30,73450,"35406","AL","Tuscaloosa","Tuscaloosa County","Tuscaloosa",6431,322000,-0.000310462589257994,-0.00155038759689922,0.010354565422027,0.0180840023201989,0.0194809961403408,"2019-02","2019-Q1",323400,-0.00432900432900433,"2018-12"
2019-09-30,90407,"74447","OK","Tulsa","Okmulgee County","Okmulgee",6432,48700,-0.0121703853955375,-0.0356435643564356,-0.0375494071146245,0.0285791550650309,0.0127614616754157,"2018-11","2018-Q4",50900,-0.0432220039292731,"2018-06"
2019-09-30,90382,"74401","OK","Muskogee","Muskogee County","Muskogee",6433,45200,-0.00659340659340659,0.0296127562642369,-0.0022075055187638,0.0273259722661214,0.000889289925739112,"2008-04","2008-Q2",48200,-0.0622406639004149,"2006-02"
2019-09-30,81256,"53158","WI","Chicago-Naperville-Elgin","Kenosha County","Pleasant Prairie",6434,257800,0.00389408099688474,0.014162077104642,0.0988917306052856,0.0836742720319044,0.02591702654321,"2019-09","2019-Q3",257800,0,"2019-09"
2019-09-30,79891,"49721","MI",,"Cheboygan County","Cheboygan",6435,101000,0.00397614314115308,-0.00492610837438424,0.0380267214799589,0.0350956646610581,0.00415269844979926,"2004-09","2004-Q3",135700,-0.255711127487104,"2002-03"
2019-09-30,74467,"37763","TN","Knoxville","Roane County","Kingston",6436,180600,0.00110864745011086,0.015177065767285,0.116883116883117,0.0682886412248287,0.028015630326838,"2019-09","2019-Q3",180600,0,"2019-09"
2019-09-30,73977,"36618","AL","Mobile","Mobile County","Mobile",6437,102300,-0.00389483933787731,0.000978473581213307,0.0209580838323353,0.0643360276139273,-0.00164676521012408,"2008-07","2008-Q3",111200,-0.0800359712230216,"2006-09"
2019-09-30,74169,"37090","TN","Nashville-Davidson--Murfreesboro--Franklin","Wilson County","Lebanon",6438,275500,0.000726480203414457,0.0192378838327784,0.0555555555555556,0.0917814933186774,0.0523461336703548,"2019-09","2019-Q3",275500,0,"2019-09"
2019-09-30,89954,"73129","OK","Oklahoma City","Oklahoma County","Oklahoma City",6439,42700,0.00234741784037559,0.0314009661835749,0.141711229946524,0.115696792035897,0.0416239414871593,"2019-09","2019-Q3",42700,0,"2019-09"
2019-09-30,66750,"21050","MD","Baltimore-Columbia-Towson","Harford County","Forest Hill",6440,351300,-0.000853242320819113,0.00256849315068493,0.0121002592912705,0.0257927988509292,0.0101994383957629,"2006-09","2006-Q3",378400,-0.0716173361522199,"2005-09"
2019-09-30,94167,"83442","ID","Idaho Falls","Jefferson County","Rigby",6441,276500,0.0076530612244898,0.0274990709773319,0.229982206405694,0.102171667558618,0.0534943196826914,"2019-09","2019-Q3",276500,0,"2019-09"
2019-09-30,96398,"91384","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Castaic",6442,565700,0.00568888888888889,0.0130730659025788,0.0107200285867429,0.0497825513738424,0.0392050918623665,"2006-08","2006-Q3",611000,-0.0741407528641571,"2005-09"
2019-09-30,62168,"11581","NY","New York-Newark-Jersey City","Nassau County","Valley Stream",6443,520000,0.00134796841902561,0.000384763370527126,0.0395841663334666,0.0575479311011855,0.0361973983334614,"2019-05","2019-Q2",520400,-0.000768639508070715,"2019-05"
2019-09-30,75401,"39705","MS","Columbus","Lowndes County","Columbus",6444,163500,0.0105067985166873,0.0136391816491011,0.0193266832917706,0.0332981650827289,0.0160015135884468,"2019-02","2019-Q1",166000,-0.0150602409638554,"2018-11"
